Title,Price,DiscogsID,MaxPrice
George Michael - Faith - Columbia Records Orig. 1987 Vinyl LP C 40867 Insert,33.00,18
Tron~Wendy Carlos Soundtrack~1982 Vinyl CBS Records~BL-37782 Near mint,35.00,20
"New Order ""Substance 1987"" 2xLP ~ Original Press ~  Qwest 1-25621 ~ Embossed",175.00,28884,30
THE SMITHS Rank LP VG+ 1988 Sire Records Plays Well 1-25786 Morrissey ,113.83,1061627,20
The Cure Show Vinyl LP Vinyl:Near Mint/ Sleeve Near Mint,225.00,1004498,150
Minutemen Double Nickels On The Dime 2X lp 1984 1st Press Gatefold NM/EX++ NICE!,179.99,421057,100
"The Residents ""Eskimo"" Vinyl Record ESK 7906",22.99,587514,15
"Faith [LP] by George Michael Vinyl  Oct-1987 Columbia USA",34.99,4504601,18
THE REPLACEMENTS Boink!! LP Import Glass MGLALP 016 Original 1986 Rare,65.00,1842975,30
Rasputin's Stash Devil Made Me Do It Vinyl LP,19.99,1924353,15
The Smiths Self Titled Album Used LP Allied Pressing 1984 VG+ 1-25065,64.20,501464,45
RAMONES ‘Rocket to Russia’ 1977 PROMO Vinyl LP ~ Ultrasonically Cleaned,100.00,1288854,35
RIDE Nowhere Vinyl LP 1990 Creation 1st UK Press Embossed Sleeve VG+/EX,145.00,383011,50
"Minutemen, Buzz Or Howl Under The Influence Of Heat, 12” Vinyl, 1983, NM-, Punk",70.00,36
EDDIE GALE Ghetto Music LP BLUE NOTE BST 84294 US 1968 RVG Spiritual,508.99,872192,150
"SECESSION A Dark Enchantment 1987 Siren UK IMPORT VINYL Record LP SRNLP-11 12""",165.00,140287,25
Rare Private Press Prog Rock Houston TX Original Pressing The Relayer Album VG+,50.00,5206411,12
Private Press Jazz Funk Fusion Prog Amazing Jams OG Press Clareon LP EX Vinyl ,26.00,5272731,22
Miles Davis Pangaea CBS Sony 36AP 1789/90 Japan Import 1979 2 LPs w/Insert,200.00,1942850,45
Sonic Youth Evol 1986 1st Press Excellent Condition Vinyl LP  Complete,175.00,843885,75
"Sonic Youth Confusion Is Sex. 1987 SST Repress SST096, NM- Complete!",80.00,843894,25
Sonic Youth Bad Moon Rising BFFP 1 / HMS 016 1985 1st Press Excellent,75.00,381545,30
Sonic Youth Washing Machine Vinyl 2xLP 1995 Geffen Original US Pressing,200.00,1448288,75
Sonic Youth Experimental Jet Set Trash & No Star DGC-24632 1st Press In Shrink,125.00,703500,40
The Smiths - Meat Is Murder 1-25269 Rough Trade Vinyl LP EXC,38.99
"The Counts – Funk Pump, 1974 LP, Aware – AA 2006",24.99,589287,15
Masayoshi Takanaka The Rainbow Goblins 2LP Japan Vinyl 1981 36MK9101 W/OBI VG++,100.00,1225604,35
"THE SMITHS Strangeways, Here We Come 1987 LP Vinyl Record Album : EX/EX 1-25649",62.95,25
"PYG - Pyg! Original First Album LP (RARE Japanese POLYDOR, w/OBI nm/vg++",110.00,2287677,25
The Velvet Underground - White Light / White Heat Original LP NM Shrink,550.00,60
Fela Kuti F.E.A. Vinyl LP Afrobeat Nigeria Warner Bros,99.99,60
Sonic Youth Daydream Nation LP - Rare 1988 Press 775403-1 - w/ Poster - NM Vinyl,149.99,80
Depeche Mode Music For The Masses Vinyl Record LP,29.50,30
Wire - IBTABA 1989 Vinyl LP Enigma 7735161,28.00,15
Tron~Wendy Carlos Soundtrack~1982 Vinyl CBS Records~BL-37782,45.00,20
EMPRESS s/t PRELUDE LP VG+ Promo WLP Disco Boogie Funk Dyin’ To Be Dancin’,39.95,22
New Order Substance 1987 Vinyl Record Album,50.00,35
Ippu-Do - Night Mirage LP 12” Vinyl Record Epic 25506 Holland Netherlands NM,60.00
East Side Story Vol. 4 Lp Vinyl Original First pressing Trenton Chicano Lowrider,177.77
EL TOPO OST LP Orig Plays Well 1971 Apple SWAO 3388 Alexandro Jodorowsky ,113.81
JOHN and ALICE COLTRANE Cosmic Music LP VG+ Plays Well 1974 ABC Impulse Vinyl,109.98
NEW ORDER Brotherhood LP VG+ Plays Well Orig 1986 Qwest Vinyl 125511 SRC,109.96
JOY DIVISION Closer LP Spain VG+ 1981 Edigsa 19L0094 Factory XXV Vinyl,102.19
DEAD KENNEDYS- Frankenchrist 1ST Press Vinyl LP 1985 Hype Sticker No Poster,29.99
G.I. Gurdjieff Sacred Hymns Vinyl Record,15.00
Brian Eno - Another Green World LP Island Records ILPS 9351 1975 1st Pressing,39.99
DONALD BYRD Ethiopian Knights LP BLUE NOTE 84380 US 1972 RVG Bobby Hutcherson,28.49
The Smiths - Strangeways Here We Come LP Vinyl Record Album 1987 Press,39.95,497888,28
Anthony Braxton –Creative Orchestra Music 1976 LP 1976 Arista AL 4060 Jazz Avant,19.99
LYN COLLINS Check Me Out If You Don't Know Me By Now PEOPLE PE 6605 US 1975 Funk,80.99,398371,30
HORACE TAPSCOTT Songs Of The Unsung LP INTERPLAY RECORDS IP-7714 US 1978 JAZZ,52.99,2427627,35
"Bitches Brew Miles Davis Vinyl LP Record Columbia CS 9995 1st Press 12""",50.00
Peter Bauman. Romance 76. VG+ Vinyl LP. Promo. 1976 Original. VG Cover. ,11.99
